,City,Country,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
38,Rio Gallegos,AR,-51.62,-69.22,55.4,47,8.05,40
39,Byron Bay,AU,-28.65,153.62,82.4,65,11.41,40
40,Khash,IR,28.22,61.21,22.26,68,2.71,0
41,Bluff,NZ,-46.6,168.33,59.07,99,18.92,92
42,Forestville,CA,48.74,-69.09,28.4,92,2.24,90
43,Chokurdakh,RU,70.62,147.9,-28.91,47,4.61,24
44,Port Alfred,ZA,-33.59,26.89,66.77,88,12.1,80
45,Mitsamiouli,KM,-11.38,43.28,82.25,99,7.18,88
46,Fortuna,US,40.6,-124.16,53.06,100,11.41,90
47,Moree,AU,-29.46,149.84,86.0,35,14.99,0
48,Umm Kaddadah,SD,13.6,26.69,62.85,42,10.87,0
49,Springbok,ZA,-29.67,17.88,58.22,42,4.38,0
50,Henties Bay,NA,-22.12,14.28,62.9,100,4.5,0
51,Puerto Escondido,MX,15.86,-97.07,86.0,66,4.5,40
52,Santa Vitoria do Palmar,BR,-33.52,-53.37,69.42,73,15.23,0
53,Kununurra,AU,-15.77,128.74,84.2,66,6.93,20
54,Saldanha,ZA,-33.01,17.94,60.8,82,13.87,0
55,Dunedin,NZ,-45.87,170.5,54.8,100,3.15,92
56,Canto do Buriti,BR,-8.11,-42.94,75.72,72,6.73,56
57,Comodoro Rivadavia,AR,-45.87,-67.48,78.8,16,23.04,0
58,Dingle,IE,52.14,-10.27,51.42,96,12.44,92
59,Hilo,US,19.71,-155.08,77.0,62,6.93,75
60,Talnakh,RU,69.49,88.39,-2.85,85,20.83,76
61,Hasanpur,IN,28.72,78.28,52.37,96,5.95,92
62,Iberia,PE,-11.41,-69.49,86.39,49,4.94,0
63,Tuktoyaktuk,CA,69.44,-133.03,-2.21,84,2.24,90
64,Seabra,BR,-12.42,-41.77,63.17,95,2.59,0
65,Semirom,IR,31.41,51.57,9.03,64,2.48,0
66,Soe,ID,-9.86,124.28,77.07,77,1.81,44
67,Saint George,BM,32.38,-64.68,73.4,88,23.04,75
68,Privolzhskiy,RU,55.96,48.41,14.0,92,2.24,90
69,Severomuysk,RU,56.17,113.57,-37.19,0,1.48,20
70,Namibe,AO,-15.19,12.15,74.82,100,3.38,80
71,Kyra,RU,49.58,111.97,-25.22,33,2.26,0
72,Adrar,DZ,27.87,-0.29,44.6,45,11.41,0
73,Saint-Philippe,RE,-21.36,55.77,80.6,69,5.82,0
74,Shelburne,CA,44.08,-80.2,33.8,92,4.7,75
75,Pisco,PE,-13.71,-76.2,71.6,30,18.34,0
76,Jamestown,SH,-15.94,-5.72,72.39,100,13.11,92
77,Bang Saphan,TH,11.21,99.51,80.6,88,14.99,75
78,Xiaoweizhai,CN,26.23,107.51,31.67,99,2.93,92
79,Port Hardy,CA,50.7,-127.42,39.2,93,5.82,90
80,Hasaki,JP,35.73,140.83,37.4,47,12.75,40
81,Sangar,RU,63.92,127.47,-29.67,48,5.95,48
82,Kapaa,US,22.08,-159.32,80.06,54,11.41,75
83,Derzhavinsk,KZ,51.1,66.31,-4.38,79,10.2,20
84,Thompson,CA,55.74,-97.86,-7.61,69,3.36,20
85,Victoria,SC,-4.62,55.45,82.4,78,6.93,68
86,Medea,DZ,36.27,2.77,39.2,93,5.82,20
87,Vila Velha,BR,-3.71,-38.6,82.4,83,13.87,20
88,Mahebourg,MU,-20.41,57.7,80.6,83,11.41,40
89,Alofi,NU,-19.06,-169.92,73.4,94,12.75,92
90,Galesong,ID,-5.32,119.37,77.0,88,4.7,20
91,Searcy,US,35.25,-91.74,59.0,66,4.83,1
92,Hobart,AU,-42.88,147.33,68.0,37,20.8,40
93,Atuona,PF,-9.8,-139.03,81.35,100,14.56,80
94,San Juan,US,26.19,-98.16,78.98,44,9.17,75
95,Port-Cartier,CA,50.03,-66.88,28.4,92,4.7,90
96,Salta,AR,-24.79,-65.41,78.8,69,5.82,40
97,Severo-Yeniseyskiy,RU,60.37,93.04,0.17,73,5.28,48
98,Kahului,US,20.89,-156.47,82.94,51,20.8,20
99,Georgetown,SH,-7.93,-14.42,77.84,100,12.1,68
100,Dikson,RU,73.51,80.55,-5.42,97,15.79,36
101,Myitkyina,MM,25.38,97.4,48.32,90,2.37,0
102,Bredasdorp,ZA,-34.53,20.04,60.8,77,5.39,0
103,Bambous Virieux,MU,-20.34,57.76,80.6,83,11.41,40
104,Isangel,VU,-19.55,169.27,78.65,99,18.48,64
105,Sussex,CA,45.72,-65.51,33.8,100,5.82,90
106,Puerto Ayora,EC,-0.74,-90.35,84.2,62,16.11,20
107,Constitucion,MX,23.99,-104.67,77.0,10,3.36,75
108,Kavieng,PG,-2.57,150.8,84.36,99,17.47,48
109,Guerrero Negro,MX,27.97,-114.04,57.45,89,5.61,92
110,Merauke,ID,-8.49,140.4,77.39,100,10.54,92
111,Assiniboia,CA,49.63,-105.99,24.74,86,9.08,0
112,Beringovskiy,RU,63.05,179.32,22.85,89,33.35,80
113,Severo-Kurilsk,RU,50.68,156.12,21.32,100,6.29,64
114,Hambantota,LK,6.12,81.12,75.5,100,16.91,32
115,Chachapoyas,PE,-6.23,-77.87,61.86,89,1.36,8
116,Provideniya,RU,64.42,-173.23,-0.02,100,27.31,12
117,Narsaq,GL,60.91,-46.05,6.92,73,4.05,80
118,Jumla,NP,29.28,82.18,22.22,100,1.7,88
119,Kaitangata,NZ,-46.28,169.85,56.37,99,11.21,92
120,Fare,PF,-16.7,-151.02,86.07,92,13.0,44
121,Avarua,CK,-21.21,-159.78,82.4,65,5.82,75
122,Cayenne,GF,4.94,-52.33,78.8,83,10.29,75
123,Inuvik,CA,68.36,-133.71,-2.21,77,3.27,90
124,Ahipara,NZ,-35.17,173.16,74.46,65,7.96,0
125,Batagay-Alyta,RU,67.8,130.41,-49.83,0,1.92,0
126,Bhadohi,IN,25.39,82.57,55.4,87,6.93,64
127,Lagoa,PT,37.14,-8.45,44.6,75,4.7,0
128,Ketchikan,US,55.34,-131.65,35.06,65,17.22,75
129,Dolo,PH,6.81,125.19,78.8,88,6.93,75
130,Brinkovskaya,RU,46.03,38.59,25.19,100,11.43,8
131,Castro,CL,-42.48,-73.76,59.0,62,6.93,44
132,San Cristobal,EC,-1.02,-79.44,65.1,100,1.92,88
133,Iquitos,PE,-3.75,-73.25,42.8,319,2.24,0
134,Carlsbad,US,33.16,-117.35,60.98,71,3.36,90
135,Haines Junction,CA,60.75,-137.51,-16.31,63,2.26,12
136,Samarinda,ID,-0.5,117.14,80.54,78,2.93,0
137,Raudeberg,NO,61.99,5.14,42.8,100,1.12,92
138,Esperance,AU,-33.86,121.89,59.0,77,9.17,32
139,Grand Gaube,MU,-20.01,57.66,80.6,83,11.41,40
140,Mandera,KE,3.94,41.87,72.8,32,5.84,32
141,La Baule-Escoublac,FR,47.28,-2.4,39.2,69,4.7,90
142,Katsuura,JP,33.93,134.5,44.6,70,10.29,75
143,Irbeyskoye,RU,55.64,95.45,5.75,81,11.32,76
144,Alikalia,SL,9.15,-11.39,69.65,71,2.48,32
145,Grindavik,IS,63.84,-22.43,35.6,100,29.97,75
146,Cajamarca,PE,-7.16,-78.52,57.2,93,0.92,75
147,Khatanga,RU,71.98,102.47,-27.6,43,2.71,36
148,Winslow,US,35.02,-110.7,28.04,68,5.82,1
149,Ouesso,CG,1.61,16.05,71.94,100,2.93,80
150,Akom,CM,2.67,12.71,73.34,76,3.6,56
151,Viedma,AR,-40.81,-62.99,72.8,44,8.75,20
152,Yokadouma,CM,3.52,15.05,69.33,84,2.04,64
153,Recodo,PH,13.03,121.49,72.57,100,8.63,92
154,Havelock,NZ,-41.28,173.77,77.25,56,10.98,0
155,Arraial do Cabo,BR,-22.97,-42.02,78.8,83,2.24,75
156,New Norfolk,AU,-42.78,147.06,68.0,37,20.8,40
157,Cururupu,BR,-1.82,-44.87,79.32,85,8.41,92
158,Nantucket,US,41.28,-70.1,42.98,100,13.87,90
159,East London,ZA,-33.02,27.91,68.84,100,22.28,56
160,La Ronge,CA,55.1,-105.3,-4.01,83,5.82,20
161,Matara,LK,5.95,80.54,73.92,100,5.39,44
162,Aklavik,CA,68.22,-135.01,-2.21,76,2.24,90
163,Pevek,RU,69.7,170.27,-23.1,100,4.16,24
164,Karratha,AU,-20.74,116.85,84.14,71,5.73,0
165,Sovetskiy,RU,56.76,48.47,14.79,87,3.15,80
166,Mweka,CD,-4.85,21.56,68.75,99,2.37,56
167,Lebu,CL,-37.62,-73.65,57.09,91,18.7,0
168,Walvis Bay,NA,-22.95,14.51,64.4,77,14.99,0
169,Khandyga,RU,62.65,135.58,-43.26,0,2.59,8
170,Victor Harbor,AU,-35.55,138.62,68.0,52,13.87,75
171,Mecca,SA,21.43,39.83,62.27,90,2.71,12
172,Nanortalik,GL,60.14,-45.24,31.04,94,14.67,88
173,Mirpur Sakro,PK,24.55,67.63,52.95,92,9.75,0
174,Kalabo,ZM,-15.0,22.67,68.12,93,3.15,32
175,Emerald,AU,-23.53,148.16,82.4,48,9.17,0
176,Maltahohe,NA,-24.83,16.98,72.39,39,7.74,24
177,Goundam,ML,16.42,-3.66,60.74,46,11.65,36
178,Betare Oya,CM,5.6,14.08,71.04,40,7.85,32
179,Alto Araguaia,BR,-17.32,-53.22,72.62,92,5.39,20
180,Mount Isa,AU,-20.73,139.49,93.2,34,5.82,0
181,Zemio,CF,5.02,25.13,69.24,84,2.37,12
182,Bay Roberts,CA,47.58,-53.28,32.0,93,10.29,90
183,Bathsheba,BB,13.22,-59.52,75.2,78,8.05,75
184,Senanga,ZM,-16.1,23.3,70.37,88,1.92,64
185,Bloemhof,ZA,-27.65,25.61,69.02,52,14.23,0
186,Westport,IE,53.8,-9.52,50.12,98,7.4,92
187,Calama,CL,-22.46,-68.93,73.4,34,21.92,0
188,Shieli,KZ,44.18,66.74,0.21,64,3.38,56
189,Salalah,OM,17.01,54.1,77.0,41,9.17,0
190,Pacific Grove,US,36.62,-121.92,55.94,100,14.99,90
191,Santa Fe,AR,-31.62,-60.7,83.46,63,9.19,36
192,Luanda,AO,-8.83,13.24,77.0,88,3.36,75
193,Chifeng,CN,42.27,118.96,5.16,70,2.93,68
194,Tacoronte,ES,28.48,-16.41,62.6,27,11.41,0
195,Nigde,TR,37.97,34.68,22.8,96,2.37,20
196,Barrow,US,39.51,-90.4,55.04,79,5.82,1
197,Vanderhoof,CA,54.02,-124.02,23.84,90,2.59,80
198,Xuddur,SO,4.12,43.89,70.86,63,11.77,68
199,Marienburg,SR,5.88,-55.04,80.6,78,6.93,20
200,Mnogovershinnyy,RU,53.94,139.92,1.34,60,8.86,36
201,Chokwe,MZ,-24.53,32.98,71.85,100,11.77,92
202,Honiara,SB,-9.43,159.96,80.45,90,4.16,76
203,Upanema,BR,-5.64,-37.26,73.25,88,2.82,56
204,Hamilton,BM,32.3,-64.78,73.4,88,23.04,75
205,Niquelandia,BR,-14.47,-48.46,76.49,74,4.94,80
206,Ixtapa,MX,20.71,-105.21,80.6,69,5.82,75
207,Kichera,RU,55.93,110.1,-30.66,47,1.59,12
208,Hay River,CA,60.82,-115.79,8.6,84,8.05,90
209,Ginir,ET,7.14,40.71,46.79,52,3.49,0
210,Ulaanbaatar,MN,47.92,106.92,-25.61,67,3.15,36
211,Norman Wells,CA,65.28,-126.83,3.2,84,2.93,90
212,Ouadda,CF,8.07,22.4,74.46,42,10.31,0
213,Port Hawkesbury,CA,45.62,-61.36,33.8,100,5.82,90
214,Berlevag,NO,70.86,29.09,32.3,100,4.61,80
215,Nikolskoye,RU,59.7,30.79,23.0,79,4.47,90
216,Uruzgan,AF,32.93,66.63,-4.83,60,1.92,0
217,Longyearbyen,SJ,78.22,15.64,24.8,73,17.22,75
218,Kuching,MY,1.56,110.34,77.0,94,1.12,75
219,Anqing,CN,30.51,117.04,35.67,100,8.86,68
220,Tura,RU,64.27,100.22,0.66,60,7.85,48
221,Bethel,US,60.79,-161.76,12.2,92,6.93,90
222,Mount Gambier,AU,-37.83,140.78,62.6,67,5.82,90
223,Lokachi,UA,50.74,24.65,20.37,85,15.01,76
224,Teya,RU,60.37,92.63,-0.24,74,5.06,48
225,Coihaique,CL,-45.58,-72.07,59.0,51,9.17,75
226,Vanavara,RU,60.35,102.28,-8.52,63,7.18,64
227,Luderitz,NA,-26.65,15.16,60.6,72,18.25,0
228,Samarai,PG,-10.62,150.67,80.13,100,21.39,64
229,Buala,SB,-8.15,159.59,83.6,91,9.64,80
230,Ahuimanu,US,21.44,-157.84,82.04,58,11.41,20
231,Thinadhoo,MV,0.53,72.93,81.57,100,11.99,88
232,Kosh-Agach,RU,49.99,88.66,-14.46,50,3.15,64
233,Sioux Lookout,CA,50.1,-91.92,17.6,78,5.82,90
234,Boysun,UZ,38.2,67.2,8.72,58,2.04,0
235,Mercedes,AR,-29.18,-58.08,77.07,89,8.41,0
236,Sitka,US,37.17,-99.65,51.06,46,10.54,0
237,Paragominas,BR,-3.0,-47.35,76.08,93,4.05,20
238,Tiksi,RU,71.64,128.87,-19.91,57,8.3,24
239,Kodiak,US,39.95,-94.76,55.94,39,3.36,1
240,Ancud,CL,-41.87,-73.83,59.0,62,6.93,0
241,Chernyshevskiy,RU,63.01,112.47,-2.85,72,9.19,56
242,Manta,EC,-0.95,-80.73,78.8,83,6.93,75
243,Kalmunai,LK,7.42,81.82,71.4,97,5.95,92
244,Amaru,RO,44.93,26.59,23.0,92,10.29,0
245,Florianopolis,BR,-27.6,-48.55,75.2,73,3.36,75
246,Jeremie,HT,18.65,-74.12,76.62,100,1.81,0
247,Goure,NE,13.98,10.27,59.52,45,11.77,12
248,Redlands,US,34.06,-117.19,54.14,50,3.15,90
249,Te Anau,NZ,-45.41,167.72,51.33,100,3.27,92
250,Qaanaaq,GL,77.48,-69.36,1.65,88,7.4,48
251,Kysyl-Syr,RU,63.9,122.77,-9.74,68,4.72,48
252,Iki-Burul,RU,45.82,44.65,30.2,100,4.47,88
253,Siguiri,GN,11.42,-9.17,68.75,39,9.98,88
254,Bogorodskoye,RU,52.37,140.44,-0.47,54,9.75,36
255,Shenkursk,RU,62.11,42.91,9.93,82,3.6,44
256,Celestun,MX,20.87,-90.4,74.82,99,18.48,0
257,Kemi,FI,65.74,24.56,6.8,84,3.36,0
258,Pasighat,IN,28.06,95.33,44.31,51,2.26,36
259,Aracuai,BR,-16.85,-42.07,70.1,58,6.73,0
260,Kudahuvadhoo,MV,2.67,72.89,82.02,100,12.77,76
261,Xiaoyi,CN,37.15,111.77,10.56,71,1.03,32
262,Butaritari,KI,3.07,172.79,81.57,100,9.75,92
263,Kavaratti,IN,10.57,72.64,80.94,100,4.27,0
264,Bardstown,US,37.81,-85.47,51.98,70,3.36,1
265,Jistebnice,CZ,49.49,14.53,33.74,98,8.97,92
266,Ocampo,MX,27.32,-102.4,59.75,29,3.15,12
267,Saint Lawrence,MT,36.06,14.2,50.0,57,13.87,20
268,Progreso,MX,20.25,-99.19,62.0,59,3.94,0
269,Okhotsk,RU,59.36,143.24,-20.09,100,11.54,0
270,Vestmanna,FO,62.16,-7.17,42.8,75,18.34,0
271,Grand-Santi,GF,4.27,-54.38,81.84,63,4.94,88
272,Namatanai,PG,-3.66,152.44,84.59,96,16.24,56
273,Vanimo,PG,-2.67,141.3,81.39,100,22.17,80
274,Kamsack,CA,51.56,-101.9,14.0,92,4.7,90
275,Geraldton,AU,-28.77,114.6,80.6,42,9.17,90
276,Zhigansk,RU,66.77,123.37,-18.74,82,9.98,48
277,Polyarnyy,RU,69.2,33.45,19.4,85,2.24,75
278,Ko Samui,TH,9.54,99.94,82.4,83,16.11,40
279,Lovozero,RU,68.01,35.02,10.02,92,3.27,88
280,Douglas,US,31.51,-82.85,55.94,67,3.36,1
281,Uhersky Brod,CZ,49.03,17.65,35.6,80,14.99,68
282,Paita,PE,-5.09,-81.11,76.26,74,7.85,12
283,Porbandar,IN,21.64,69.61,63.84,83,15.79,0
284,Aykhal,RU,65.95,111.51,-8.88,62,6.51,64
285,Labuhan,ID,-2.54,115.51,79.23,83,2.82,20
286,Fayetteville,US,36.06,-94.16,60.08,43,4.7,1
287,Pimentel,PE,-6.84,-79.94,66.2,29,13.87,40
288,Sept-Iles,CA,50.2,-66.38,28.4,92,4.7,90
289,Deputatskiy,RU,69.3,139.9,-44.39,0,2.71,8
290,Zalantun,CN,48.0,122.72,-1.32,56,5.5,0
291,Mikuni,JP,36.22,136.15,33.8,86,8.05,75
292,Sao Filipe,CV,14.9,-24.5,74.01,92,10.98,0
293,Saint Andrews,CA,45.08,-67.06,36.48,100,8.41,92
294,Natal,BR,-5.81,-35.21,82.4,74,9.17,40
295,Killybegs,IE,54.63,-8.45,49.62,98,8.75,92
296,Nalut,LY,31.86,10.98,26.49,74,2.93,0
297,Mackay,AU,-21.15,149.2,82.4,65,13.87,36
298,Broken Hill,AU,-31.97,141.45,68.0,40,13.87,0
299,Vardo,NO,70.37,31.11,37.25,100,18.14,92
300,Farim,GW,12.48,-15.22,68.88,39,9.42,24
301,Skagen,DK,57.72,10.58,42.96,100,2.15,8
302,Guider,CM,9.93,13.94,68.0,28,6.93,0
303,Ballina,AU,-28.87,153.57,82.4,61,13.87,0
304,Bozeman,US,45.68,-111.04,39.2,41,19.46,1
305,Medvedka,RU,61.17,46.39,10.52,86,6.62,44
306,Uyuni,BO,-20.46,-66.82,44.99,90,3.38,36
307,Awbari,LY,26.59,12.77,29.01,66,3.27,0
308,Tiarei,PF,-17.53,-149.33,91.4,59,8.05,75
309,Barre,US,44.2,-72.5,33.08,92,2.26,1
310,Brae,GB,60.4,-1.35,46.4,93,16.11,92
311,Tilichiki,RU,60.47,166.1,8.58,70,12.33,80
312,Ndele,CF,8.41,20.65,76.67,37,9.19,12
313,Lastoursville,GA,-0.81,12.73,72.84,94,2.37,92
314,Sandovo,RU,58.46,36.41,17.13,89,5.39,68
315,Singaraja,ID,-8.11,115.08,76.71,93,0.69,8
316,Constantine,DZ,36.36,6.61,39.2,86,9.17,40
317,Oyama,JP,36.31,139.8,30.2,58,1.12,75
318,Albanel,CA,48.88,-72.44,28.4,86,3.36,90
319,Tailai,CN,46.39,123.41,-9.56,52,2.37,0
320,Seddon,NZ,-41.67,174.07,77.25,56,10.98,0
321,Lososina,RU,49.0,140.31,3.9,100,17.02,0
322,Belmonte,BR,-26.84,-53.58,75.54,86,7.96,68
323,Kandrian,PG,-6.21,149.55,82.52,81,8.75,36
324,Fort Nelson,CA,58.81,-122.69,8.6,92,3.6,75
325,Roura,GF,4.73,-52.33,78.8,83,10.29,75
326,Chumikan,RU,54.72,135.31,-6.41,44,8.41,0
327,Soyo,AO,-6.13,12.37,76.08,96,3.38,56
328,Atar,MR,20.52,-13.05,58.26,31,8.75,0
329,Lamar,US,38.09,-102.62,57.92,26,5.82,1
330,Dali,CN,25.6,100.24,30.72,100,1.36,0
331,Malaryta,BY,51.79,24.08,20.73,84,17.13,76
332,Chauk,MM,20.89,94.82,55.47,92,5.84,0
333,Flinders,AU,-34.58,150.85,64.4,77,10.29,90
334,Beinamar,TD,8.67,15.38,65.69,46,7.4,8
335,Okitipupa,NG,6.5,4.78,73.29,80,3.15,0
336,Coquimbo,CL,-29.95,-71.34,66.2,63,9.17,0
337,Longyan,CN,25.1,117.03,49.85,98,2.59,92
338,Stornoway,GB,58.21,-6.39,50.0,93,11.41,92
339,Tautira,PF,-17.73,-149.15,91.4,59,8.05,75
340,Mar del Plata,AR,-46.43,-67.52,71.72,33,30.44,0
341,Aldan,RU,58.61,125.39,-5.19,78,4.05,64
342,San Patricio,MX,19.22,-104.7,82.4,78,5.82,75
343,Rocha,UY,-34.48,-54.34,73.2,47,13.11,0
344,Poum,NC,-20.23,164.02,80.67,96,18.7,8
345,Villamontes,BO,-21.26,-63.47,73.47,91,2.15,24
346,Gilbues,BR,-9.83,-45.34,74.91,71,3.15,44
347,Livny,RU,52.43,37.61,17.67,86,2.93,68
348,Lompoc,US,34.64,-120.46,55.94,100,18.34,90
349,Whitianga,NZ,-36.83,175.7,71.99,90,10.98,0
350,Hami,CN,42.84,93.51,3.18,62,6.62,76
351,Eyl,SO,7.98,49.82,72.21,100,17.36,88
352,Huambo,AO,-12.78,15.73,56.6,86,3.6,12
353,Gua Musang,MY,4.88,101.97,71.85,98,1.81,80
354,Salinopolis,BR,-0.61,-47.36,79.68,100,11.1,36
355,Nizwa,OM,22.93,57.53,56.19,84,1.36,8
356,Bilibino,RU,68.06,166.44,-39.93,0,2.37,32
357,Chapleau,CA,47.85,-83.4,28.4,100,4.7,90
358,Lorengau,PG,-2.02,147.27,84.95,95,21.61,80
359,George,ZA,-33.96,22.46,64.4,88,2.24,0
360,Katangli,RU,51.71,143.23,3.36,100,20.83,36
361,Dinguiraye,GN,11.29,-10.71,61.23,62,3.38,24
362,Cherskiy,RU,68.75,161.3,-29.27,48,5.61,32
363,Hirara,JP,24.8,125.28,69.8,100,5.82,75
364,Elizabeth City,US,36.3,-76.22,55.94,73,12.1,1
365,Abapo,BO,-18.83,-63.47,77.52,60,3.71,0
366,Keffi,NG,8.85,7.88,71.6,43,5.82,0
367,Erzin,RU,50.26,95.16,-26.97,36,2.48,48
368,Benito Juarez,MX,28.64,-111.57,63.8,50,4.61,100
369,Iquique,CL,-20.22,-70.14,73.4,78,11.41,75
370,Santa Lucia,ES,27.91,-15.54,64.4,27,3.36,0
371,Sinnamary,GF,5.38,-52.96,76.8,100,10.42,92
372,Prince Rupert,CA,54.32,-130.32,37.4,93,3.36,90
373,Linxia,CN,35.6,103.21,4.08,59,1.81,12
374,Itaguai,BR,-22.85,-43.78,77.0,88,5.82,75
375,Kastamonu,TR,41.38,33.78,18.21,83,5.95,8
376,Klaksvik,FO,62.23,-6.59,42.8,75,18.34,0
377,Ambilobe,MG,-13.19,49.05,71.0,94,2.71,12
378,Akdepe,TM,42.05,59.39,32.0,92,9.17,90
379,Srednekolymsk,RU,67.46,153.71,-25.26,38,2.37,20
380,Aksu,CN,41.12,80.26,-6.18,50,3.49,8
381,Yumen,CN,40.29,97.04,5.88,76,8.41,56
382,Cabo San Lucas,MX,22.89,-109.91,77.0,64,6.62,75
383,Morro Bay,US,35.37,-120.85,53.06,89,12.75,90
384,Honningsvag,NO,70.98,25.97,39.05,100,15.9,92
385,Nhulunbuy,AU,-12.18,136.78,86.0,70,5.82,0
386,Komsomolskiy,RU,67.55,63.78,0.57,72,18.25,44
387,Marshall,US,39.39,-87.69,51.98,88,6.93,1
388,Makow Mazowiecki,PL,52.86,21.1,28.4,79,10.29,75
389,Margate,ZA,-30.86,30.37,70.64,91,17.69,0
390,Gamba,GA,-2.72,10.02,75.99,100,4.72,88
391,Aguimes,ES,27.91,-15.45,64.4,27,3.36,0
392,Kenai,US,60.55,-151.26,10.04,87,3.36,90
393,Nouadhibou,MR,20.93,-17.03,62.6,48,9.17,0
394,Odlabari,IN,26.83,88.62,43.55,73,2.37,0
395,Avrille,FR,47.5,-0.58,39.2,80,2.24,90
396,Dukhovshchina,RU,55.19,32.41,18.84,91,7.4,68
397,Jacaleapa,HN,14.02,-86.67,77.0,47,16.11,40
398,Dmitriyevka,RU,54.05,40.44,19.38,89,5.61,80
399,Aloleng,PH,16.13,119.78,76.26,100,8.75,0
400,Bolshoye Selo,RU,57.72,38.93,16.86,90,6.96,76
401,Acapulco,MX,16.86,-99.88,84.2,74,4.7,75
402,Impfondo,CG,1.64,18.07,72.3,98,3.04,8
403,Ust-Tarka,RU,55.56,75.71,11.82,83,11.21,48
404,Leningradskiy,RU,69.38,178.42,-11.04,93,1.36,12
405,Khandbari,NP,27.38,87.21,20.19,62,1.59,0
406,Corcoran,US,36.1,-119.56,55.94,41,3.36,75
407,Port Macquarie,AU,-31.43,152.91,75.2,78,17.22,75
408,Northam,AU,-31.65,116.67,73.4,40,14.99,64
409,Maku,IR,39.29,44.45,7.5,65,2.71,0
410,Esso,RU,55.93,158.7,-27.24,36,2.82,76
411,Nyurba,RU,63.29,118.35,-2.81,73,6.06,48
412,Bambanglipuro,ID,-7.95,110.28,75.32,100,4.27,0
413,Kruisfontein,ZA,-34.0,24.73,65.37,86,8.63,20
414,Merrill,US,42.03,-121.6,42.08,54,20.8,75
415,Lafia,NG,8.5,8.51,67.44,48,4.5,0
416,Dalvik,IS,65.97,-18.53,33.74,80,14.79,44
417,Cedar City,US,37.68,-113.06,41.0,46,13.87,1
418,Half Moon Bay,US,37.46,-122.43,55.94,82,13.87,75
419,Krasnaya Gora,RU,53.01,31.6,23.0,92,13.42,90
420,Dhidhdhoo,MV,6.88,73.1,80.22,100,3.49,0
421,Preobrazheniye,RU,42.9,133.91,-3.75,74,3.15,0
422,Lavrentiya,RU,65.58,-170.99,-2.27,97,15.01,0
423,Maldonado,UY,-34.91,-54.96,75.2,50,11.41,20
424,Kuala Terengganu,MY,5.33,103.14,80.6,88,6.93,75
425,Strezhevoy,RU,60.73,77.6,-5.81,83,6.71,40
426,Ilinskiy,RU,55.62,38.12,19.4,85,6.71,75
427,Esfahan,IR,32.66,51.68,30.2,86,4.7,36
428,Pahrump,US,36.21,-115.98,46.94,38,2.93,90
429,Karacabey,TR,40.21,28.36,37.4,100,8.75,90
430,Darnah,LY,32.77,22.64,55.92,100,29.44,64
